origin_city,dest_city,trips,segments
Москва,Санкт-Петербург,278,"[""Москва"", ""Тверь"", ""Великий Новгород"", ""Санкт-Петербург""]"
Владивосток,Москва,65,"[""Владивосток"", ""Уссурийск"", ""Хабаровск"", ""Чита"", ""Улан-Удэ"", ""Иркутск"", ""Красноярск"", ""Новосибирск"", ""Омск"", ""Тюмень"", ""Курган"", ""Челябинск"", ""Уфа"", ""Набережные Челны"", ""Казань"", ""Нижний Новгород"", ""Владимир"", ""Москва""]"
Москва,Москва,52,"[""Москва""]"
Санкт-Петербург,Москва,39,"[""Санкт-Петербург"", ""Великий Новгород"", ""Тверь"", ""Москва""]"
Москва,Новосибирск,33,"[""Москва"", ""Владимир"", ""Нижний Новгород"", ""Казань"", ""Набережные Челны"", ""Уфа"", ""Челябинск"", ""Курган"", ""Тюмень"", ""Омск"", ""Новосибирск""]"
Москва,Краснодар,26,"[""Москва"", ""Воронеж"", ""Ростов-На-Дону"", ""Краснодар""]"
Абакан,Красноярск,26,"[""Абакан"", ""Красноярск""]"
Москва,Иркутск,19,"[""Москва"", ""Владимир"", ""Нижний Новгород"", ""Казань"", ""Набережные Челны"", ""Уфа"", ""Челябинск"", ""Курган"", ""Тюмень"", ""Омск"", ""Новосибирск"", ""Красноярск"", ""Иркутск""]"
Красноярск,Москва,19,"[""Красноярск"", ""Новосибирск"", ""Омск"", ""Тюмень"", ""Курган"", ""Челябинск"", ""Уфа"", ""Набережные Челны"", ""Казань"", ""Нижний Новгород"", ""Владимир"", ""Москва""]"
Владикавказ,Москва,18,"['Владикавказ', 'Нальчик', 'Минеральные Воды', 'Армавир', 'Кропоткин', 'Ростов-на-Дону', 'Воронеж', 'Москва']"
Санкт-Петербург,Санкт-Петербург,16,"[""Санкт-Петербург""]"
Москва,Омск,16,"[""Москва"", ""Владимир"", ""Нижний Новгород"", ""Казань"", ""Набережные Челны"", ""Уфа"", ""Челябинск"", ""Курган"", ""Тюмень"", ""Омск""]"
Екатеринбург,Тольятти,16,"[""Екатеринбург"", ""Тольятти""]"
Тольятти,Краснодар,15,"[""Тольятти"", ""Краснодар""]"
Челябинск,Москва,15,"[""Челябинск"", ""Уфа"", ""Набережные Челны"", ""Казань"", ""Нижний Новгород"", ""Владимир"", ""Москва""]"
Москва,Улан-Удэ,15,"[""Москва"", ""Владимир"", ""Нижний Новгород"", ""Казань"", ""Набережные Челны"", ""Уфа"", ""Челябинск"", ""Курган"", ""Тюмень"", ""Омск"", ""Новосибирск"", ""Красноярск"", ""Иркутск"", ""Улан-Удэ""]"
Москва,Тюмень,14,"[""Москва"", ""Владимир"", ""Нижний Новгород"", ""Казань"", ""Набережные Челны"", ""Уфа"", ""Челябинск"", ""Курган"", ""Тюмень""]"
Москва,Екатеринбург,13,"[""Москва"", ""Казань"", ""Екатеринбург""]"
Екатеринбург,Москва,12,"[""Екатеринбург"", ""Казань"", ""Москва""]"
Москва,Казань,12,"[""Москва"", ""Владимир"", ""Нижний Новгород"", ""Казань""]"
